# logX, logLikelihood, tieBreaker, accepts, tries, exceeds, visits.
0 -1e+300 0 61381 65894 20145 58306 
-1.062638013 -784030.5524 0.6201161993 57555 65538 29413 79313 
-2.054613387 -568166.2816 0.1570262911 55377 65069 32340 88245 
-3.058421246 -426118.5091 0.5572149941 53823 64711 29890 90609 
-4.16732383 -316951.1165 0.9015858023 52612 64467 31522 87914 
-5.192967632 -245820.3894 0.5236540382 51167 64452 34130 89691 
-6.15919832 -201121.7718 0.4824788831 50095 64532 33236 92336 
-7.180974949 -174758.2721 0.5426631594 49419 64509 35373 91240 
-8.128575479 -163140.1546 0.9830602358 48075 64197 30097 93290 
-9.259712687 -158570.0043 0.6192261827 46699 64220 0 0 
