# index, logLikelihood, tieBreaker, ID.
0 -891175.9918 0.3168771414 0
1 -190251.7045 0.08234889415 0
3 -399728.7914 0.9625740215 0
4 -306464.0173 0.9571288144 0
6 -177437.565 0.203284595 0
7 -161531.9774 0.6529892194 0
8 -162588.9814 0.5217392862 0
8 -156917.6 0.6796504765 0
3 -356105.721 0.965900799 0
2 -551587.5721 0.01692599602 0
4 -316861.5986 0.1728872103 0
1 -671775.0848 0.02517836395 0
1 -319265.5571 0.6574685527 0
4 -280617.7741 0.884165401 0
2 -508779.5767 0.4598560397 0
8 -158789.3534 0.804528203 0
8 -157413.3821 0.9255650604 0
5 -200779.6533 0.3749432687 0
4 -158149.4112 0.754962553 0
9 -155613.1727 0.4537365956 0
6 -182382.2464 0.9650434621 0
3 -345161.5722 0.742614075 0
8 -162633.6943 0.6276183428 0
4 -279546.1042 0.9213847222 0
5 -234874.1925 0.8882086598 0
5 -215066.334 0.1878069934 0
7 -158483.6502 0.9602215727 0
2 -495999.0954 0.8265455173 0
5 -167225.6259 0.7643885694 0
5 -234934.948 0.5403696813 0
6 -161279.6008 0.6670354093 0
6 -189977.7323 0.2796023887 0
0 -58705129.71 0.6112947485 0
1 -741265.139 0.4224736246 0
6 -187298.918 0.29976327 0
4 -222860.0199 0.2546926766 0
4 -196104.7571 0.3530495037 0
7 -164241.7791 0.5706392191 0
4 -241303.8583 0.07741376005 0
6 -173677.0514 0.9871343576 0
7 -165563.79 0.6251274233 0
8 -155582.337 0.3770737618 0
8 -162513.175 0.6315518976 0
9 -157042.336 0.7127422841 0
7 -168597.2952 0.5269716614 0
8 -157987.5237 0.5754697891 0
2 -515996.689 0.566323278 0
3 -355072.1739 0.6346110742 0
5 -213227.8441 0.5187514439 0
1 -770473.0849 0.8944455472 0
6 -188173.6794 0.9244105398 0
1 -636619.7271 0.4786987479 0
1 -468438.4842 0.3170008154 0
1 -305393.4884 0.01970042489 0
6 -160280.2009 0.2742816748 0
9 -152741.2591 0.7718695863 0
0 -597369.1498 0.8259573186 0
5 -216101.6567 0.4502807008 0
4 -304159.2861 0.9204420552 0
7 -155346.9281 0.8094877239 0
4 -277764.0257 0.2089623274 0
5 -235432.094 0.1763484253 0
8 -161504.0733 0.7989943753 0
1 -765419.2982 0.8605845296 0
7 -157884.4125 0.2046804337 0
